leadid,subject,firstname,lastname,jobtitle,companyname,emailaddress1,telephone1,leadsourcecode,revenue,leadqualitycode,cr487_organizationtype,createdon,modifiedon,industrycode,numberofemployees,action_sequence,activities,last_action_date,statuscode,days_in_pipeline,days_since_last_action
LEAD-0001,Lead from GlobalTrade,John,Rodriguez,Marketing Manager,InnovateLabs,tom.brown@company.com,+1-555-8359,10,258369,1,profit,10/11/2025 10:09,10/22/2025 19:09,9,10,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,60,49
LEAD-0002,Lead from HealthInc,Alex,Jones,Business Development Manager,ConsultGroup,rachel.brown@company.com,+1-555-2139,1,421571,1,nonprofit,11/10/2025 10:09,11/29/2025 17:09,8,250,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,30,11
LEAD-0003,Lead from ManuFact,Alex,Brown,IT Director,TechCorp,sarah.smith@company.com,+1-555-6168,7,322049,1,profit,11/15/2025 10:09,12/03/2025 17:09,9,25,"['download_email_received','send_introduction_email','query_inbound_email','send_query_response_email','discount_request_inbound_email','send_budget_request_email','send_actual_usage_and_price_request_email','send_crm_user_count_request_email','send_followup_email','user_count_inbound_email','send_discount_pricing_and_order_form_email','payment_link_request_inbound_email','send_signed_order_form_request_email','signed_order_form_inbound_email','send_invoice_and_payment_link_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,13,16,25,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,13,18,29,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,14,15,13,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,14,18,6,0)},{'type':'discount_request_inbound_email','timestamp':datetime.datetime(2025,10,14,18,8,0)},{'type':'send_budget_request_email','timestamp':datetime.datetime(2025,10,14,18,14,0)},{'type':'send_actual_usage_and_price_request_email','timestamp':datetime.datetime(2025,10,31,15,0,0)},{'type':'send_crm_user_count_request_email','timestamp':datetime.datetime(2025,10,31,16,42,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,20,17,54,0)},{'type':'user_count_inbound_email','timestamp':datetime.datetime(2025,11,20,17,55,0)},{'type':'send_discount_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,21,12,45,0)},{'type':'payment_link_request_inbound_email','timestamp':datetime.datetime(2025,11,21,14,9,0)},{'type':'send_signed_order_form_request_email','timestamp':datetime.datetime(2025,11,21,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,24,14,43,0)},{'type':'send_invoice_and_payment_link_email','timestamp':datetime.datetime(2025,11,24,18,21,0)}]",11/24/2025 18:21,1,25,7
LEAD-0004,Lead from InnovateLabs,Emma,Johnson,CEO,HealthInc,mike.williams@company.com,+1-555-7916,10,497365,2,nonprofit,11/07/2025 10:09,12/14/2025 13:09,3,1000,"['download_email_received','send_introduction_email','demo_request_inbound_email','demo_call','send_pricing_and_licensing_details_email','detailed_demo_request_inbound_email','demo_call','configuration_call','send_followup_email','quote_request_for_licenses_inbound_email','send_quote_response_email','send_followup_email','order_confirmation_inbound_email','send_invoice_email','revised_invoice_request_inbound_email','send_revised_invoice_and_raise_billable_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,27,18,12,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,28,11,51,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,28,16,55,0)},{'type':'demo_call','timestamp':datetime.datetime(2025,10,30,17,30,0)},{'type':'send_pricing_and_licensing_details_email','timestamp':datetime.datetime(2025,11,3,7,56,0)},{'type':'detailed_demo_request_inbound_email','timestamp':datetime.datetime(2025,11,4,18,12,0)},{'type':'demo_call','timestamp':datetime.datetime(2025,11,6,17,30,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,11,7,16,30,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,24,12,11,0)},{'type':'quote_request_for_licenses_inbound_email','timestamp':datetime.datetime(2025,11,28,6,19,0)},{'type':'send_quote_response_email','timestamp':datetime.datetime(2025,11,28,20,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,12,4,9,45,0)},{'type':'order_confirmation_inbound_email','timestamp':datetime.datetime(2025,12,10,15,11,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,11,5,26,0)},{'type':'revised_invoice_request_inbound_email','timestamp':datetime.datetime(2025,12,16,15,15,0)},{'type':'send_revised_invoice_and_raise_billable_email','timestamp':datetime.datetime(2025,12,16,18,40,0)}]",12/16/2025 18:40,1,33,-4
LEAD-0005,Lead from HealthInc,David,Rodriguez,Business Development Manager,RetailHub,mike.garcia@company.com,+1-555-3646,9,445392,2,profit,10/27/2025 10:09,12/07/2025 19:09,17,10,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,44,3
LEAD-0006,Lead from InnovateLabs,Mike,Jones,VP Marketing,GlobalTrade,tom.brown@company.com,+1-555-9835,4,369951,1,nonprofit,10/13/2025 10:09,10/31/2025 18:09,10,1000,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,58,40
LEAD-0007,Lead from ConsultGroup,Jane,Rodriguez,Marketing Manager,ManuFact,emma.brown@company.com,+1-555-9834,3,429690,2,profit,10/28/2025 10:09,11/20/2025 11:09,19,10000,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,43,20
LEAD-0008,Lead from ConsultGroup,Jane,Brown,Marketing Manager,RetailHub,alex.davis@company.com,+1-555-3296,7,327400,1,nonprofit,10/21/2025 10:09,11/10/2025 17:09,6,250,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,50,30
LEAD-0009,Lead from FinancePlus,Tom,Smith,Director of Operations,ManuFact,emma.jones@company.com,+1-555-7930,9,330970,1,profit,10/22/2025 10:09,11/07/2025 11:09,16,50,"['download_email_received','send_introduction_email','query_inbound_email','send_query_response_email','discount_request_inbound_email','send_budget_request_email','send_actual_usage_and_price_request_email','send_crm_user_count_request_email','send_followup_email','user_count_inbound_email','send_discount_pricing_and_order_form_email','payment_link_request_inbound_email','send_signed_order_form_request_email','signed_order_form_inbound_email','send_invoice_and_payment_link_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,13,16,25,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,13,18,29,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,14,15,13,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,14,18,6,0)},{'type':'discount_request_inbound_email','timestamp':datetime.datetime(2025,10,14,18,8,0)},{'type':'send_budget_request_email','timestamp':datetime.datetime(2025,10,14,18,14,0)},{'type':'send_actual_usage_and_price_request_email','timestamp':datetime.datetime(2025,10,31,15,0,0)},{'type':'send_crm_user_count_request_email','timestamp':datetime.datetime(2025,10,31,16,42,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,20,17,54,0)},{'type':'user_count_inbound_email','timestamp':datetime.datetime(2025,11,20,17,55,0)},{'type':'send_discount_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,21,12,45,0)},{'type':'payment_link_request_inbound_email','timestamp':datetime.datetime(2025,11,21,14,9,0)},{'type':'send_signed_order_form_request_email','timestamp':datetime.datetime(2025,11,21,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,24,14,43,0)},{'type':'send_invoice_and_payment_link_email','timestamp':datetime.datetime(2025,11,24,18,21,0)}]",11/24/2025 18:21,1,49,33
LEAD-0010,Lead from HealthInc,Sarah,Miller,CTO,GlobalTrade,sarah.martinez@company.com,+1-555-1651,10,355560,1,nonprofit,11/08/2025 10:09,11/22/2025 20:09,3,1000,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,32,18
